nome,ruolo,squadra,quotazione
De Bruyne Kevin,C,Napoli,16
Elmas Eljif,C,Napoli,10
Gilmour Billy,C,Napoli,1
Lobotka Stanislav,C,Napoli,9
McTominay Scott,C,Napoli,46
Neres David,C,Napoli,3
Politano Matteo,C,Napoli,15
Santos Alisson,C,Napoli,17
Vergara Antonio,C,Napoli,2
Zambo Anguissa,C,Napoli,9
Almqvist Pontus,C,Parma,1
Bernabe Adrian,C,Parma,12
Cremaschi Benjamin,C,Parma,1
Diop Doro,C,Parma,1
Estevez Nahuel,C,Parma,5
Keita Mandela,C,Parma,12
Nicolussi Caviglia Hans,C,Parma,8
Ondrejka Jacob,C,Parma,1
Ordonez Christian,C,Parma,3
Sorensen Oliver,C,Parma,6
Strefezza Gabriel,C,Parma,17
Aebisher Michel,C,Pisa,7
Akinsanmiro Ebenezer,C,Pisa,3
Cuadrado Jaime,C,Pisa,2
Hojhlolt Malthe,C,Pisa,2
Iling Junior,C,Pisa,1
Jevsenak Zan,C,Pisa,1
Leris Mehdi,C,Pisa,9
Lorran,C,Pisa,1
Loyola Felipe,C,Pisa,3
Marin Marius,C,Pisa,1
Piccinini Gabriele,C,Pisa,4
Stengs Calvin,C,Pisa,1
Toure Idrissa,C,Pisa,4
Tramoni Matteo,C,Pisa,7
Vignato Emanuel,C,Pisa,1
Vural Isak,C,Pisa,3
Cristante Bryan,C,Roma,14
El Aynaoui Neil,C,Roma,7
Kone Kouadio,C,Roma,10
Pellegrini Lorenzo,C,Roma,7
Pisilli Niccolo,C,Roma,13
Zaragoza Bryan,C,Roma,4
Bakola,C,Sassuolo,2
Boloca Daniel,C,Sassuolo,1
Fadera Alieu,C,Sassuolo,2
Iannoni Edoardo,C,Sassuolo,1
Kone Ismael,C,Sassuolo,19
Lipani Luca,C,Sassuolo,6
Matic Nemanja,C,Sassuolo,8
Thorstvedt Kristian,C,Sassuolo,18
Volpato Cristian,C,Sassuolo,6
Vranckx Aster,C,Sassuolo,1
Anjorin Tino,C,Torino,1
Brzysk Igor,C,Torino,1
Casadei Cesare,C,Torino,15
Gineitis Gvidas,C,Torino,6
Ilic Ivan,C,Torino,1
Ilkhan Emirhan,C,Torino,4
Lazaro Valentino,C,Torino,3
Ngonge Cyril,C,Torino,1
Prati Matteo,C,Torino,4
Sandro Nascimento,C,Torino,1
Tameze Adrien,C,Torino,1
Vlasic Nikola,C,Torino,30
Atta Arthur,C,Udinese,18
Ekklenkamp Jurgen,C,Udinese,16
Karlstrom Jesper,C,Udinese,9
Miller Lennon,C,Udinese,5
Piotrowski Jakub,C,Udinese,4
Zaniolo Nicolo,C,Udinese,24
Zarraga Oier,C,Udinese,1
Akpa-Akpro,C,Verona,7
Al Musrati Ali,C,Verona,1
Bernede Antoine,C,Verona,4
Gagliardini Roberto,C,Verona,5
Harroui Abdou,C,Verona,2
Kastanos Grigoris,C,Verona,1
Lovric Sandi,C,Verona,4
Niasse Cheikh,C,Verona,1
Santiago Perez,C,Verona,1
Serdar Suat,C,Verona,1
Suslov Tomas,C,Verona,3
Yildiz Veis,C,Verona,1
Asamoah Agyei,A,Atalanta,1
De Ketelaere Charles,A,Atalanta,32
Krstovic Nikola,A,Atalanta,44
Raspadori Giacomo,A,Atalanta,27
Scamacca Gianluca,A,Atalanta,43
Sulemana Kamaldeen,A,Atalanta,7
Cambiaghi Nicolo,A,Bologna,13
Castro Santiago,A,Bologna,36
Dallinga Thijs,A,Bologna,6
Dominguez Nicolas,A,Bologna,1
Belotti Andrea,A,Cagliari,1
Borrelli Gennaro,A,Cagliari,15
Esposito Sebastiano,A,Cagliari,36
Kılıcsoy Semih,A,Cagliari,3
Mendy Paul,A,Cagliari,10
Pavoletti Leonardo,A,Cagliari,1
Trepy Yael,A,Cagliari,1
Addai Jayden,A,Como,2
Azon Ivan,A,Como,1
Diao Assane,A,Como,14
Douvikas Tasos,A,Como,45
Mezsargs Kristians,A,Como,1
Morata Alvaro,A,Como,7
Rodriguez Jesus,A,Como,12
Bonazzoli Federico,A,Cremonese,28
Djuric Milan,A,Cremonese,1
Faye Nouroudine,A,Cremonese,1
Moumbagna Faris,A,Cremonese,1
Nasti Marco,A,Cremonese,1
Okereke David,A,Cremonese,6
