nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
Di Francesco F.,A,A,LEC,1,7.0,10.0,1,0,0,0,0,0,0,2023-24
Traore' C.,A,A,MIL,1,7.0,10.0,1,0,0,0,0,0,0,2023-24
Biraschi,D,Dd;Dc,GEN,1,6.0,9.0,1,0,0,0,0,0,0,2023-24
Martinez L.,A,Pc,INT,33,6.65,8.73,24,0,2,0,2,5,0,2023-24
Dybala,A,A,ROM,27,6.48,8.2,13,0,7,0,9,3,0,2023-24
Berardi,A,A,SAS,17,6.53,8.06,9,0,5,0,2,6,0,2023-24
Scamacca,A,Pc,ATA,28,6.41,7.89,12,0,0,0,6,1,0,2023-24
Osimhen,A,Pc,NAP,25,6.36,7.88,15,0,3,0,2,4,1,2023-24
Thuram,A,Pc,INT,35,6.54,7.81,13,0,0,0,7,3,0,2023-24
Giroud,A,Pc,MIL,34,6.26,7.71,15,0,4,0,8,0,1,2023-24
Calhanoglu,C,M;C,INT,32,6.47,7.7,13,0,10,0,3,5,0,2023-24
Niang,A,Pc,EMP,14,6.36,7.68,6,0,4,0,1,1,0,2023-24
Gudmundsson A.,C,T;A,GEN,35,6.47,7.64,14,0,4,0,4,4,0,2023-24
Lookman,A,A,ATA,30,6.37,7.63,11,0,0,0,7,4,0,2023-24
Koopmeiners,C,C;T,ATA,34,6.4,7.53,12,0,2,0,5,5,0,2023-24
Pulisic,C,T;A,MIL,36,6.33,7.5,12,0,0,0,7,2,0,2023-24
Vlahovic,A,Pc,JUV,33,6.18,7.42,16,0,2,0,3,6,1,2023-24
Leao,A,A,MIL,33,6.39,7.41,9,0,0,0,9,5,0,2023-24
Noslin,A,W;A,VER,17,6.35,7.41,5,0,0,0,4,2,0,2023-24
Gonzalez N.,A,A,FIO,29,6.31,7.4,12,0,1,0,2,1,0,2023-24
Zirkzee,A,Pc,BOL,34,6.43,7.4,11,0,2,0,4,8,0,2023-24
De Ketelaere,C,T,ATA,33,6.32,7.39,10,0,1,0,8,1,0,2023-24
Zapata D.,A,Pc,TOR,37,6.26,7.36,13,0,0,0,3,2,0,2023-24
Vitinha O.,A,Pc,GEN,6,6.42,7.33,2,0,0,0,0,2,0,2023-24
Castrovilli,C,C;T,FIO,5,6.3,7.3,1,0,0,0,2,0,0,2023-24
Kvaratskhelia,A,A,NAP,34,6.25,7.25,11,0,0,0,5,8,0,2023-24
Lukaku,A,Pc,ROM,32,6.09,7.2,13,0,0,0,3,5,1,2023-24
Radonjic,C,W,TOR,8,6.06,7.19,3,0,0,0,0,1,0,2023-24
Dimarco,D,E,INT,30,6.48,7.18,5,0,0,0,6,0,0,2023-24
Chiesa,A,A,JUV,32,6.28,7.17,9,0,1,0,2,1,0,2023-24
Simic J.,D,Dc,MIL,3,6.17,7.17,1,0,0,0,0,0,0,2023-24
