nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
Volpato,C,T,ROM,1,7.0,10.0,1,0,0,0,0,0,0,2021-22
Cisse',A,Pc,ATA,1,7.0,10.0,1,0,0,0,0,0,0,2021-22
Immobile,A,Pc,LAZ,31,6.6,9.02,27,0,7,0,2,4,0,2021-22
Forestieri,A,A,UDI,3,6.83,9.0,2,0,0,0,1,1,0,2021-22
Vlahovic,A,Pc,JUV,36,6.4,8.35,24,0,5,0,3,4,0,2021-22
Berardi,A,A,SAS,33,6.71,8.33,15,0,6,0,13,9,0,2021-22
Martinez L.,A,Pc,INT,33,6.38,8.02,21,0,3,0,3,6,0,2021-22
Bove,C,C,ROM,2,6.5,8.0,1,0,0,0,0,0,0,2021-22
Osimhen,A,Pc,NAP,27,6.48,7.98,14,0,0,0,2,5,1,2021-22
Rafael Leao,A,A,MIL,34,6.63,7.84,11,0,0,0,10,4,0,2021-22
Mertens,A,A,NAP,25,6.46,7.8,11,0,1,0,1,2,0,2021-22
Caprari,A,A,VER,34,6.54,7.75,12,0,2,0,7,4,0,2021-22
Santander,A,Pc,BOL,2,6.5,7.75,1,0,0,0,0,1,0,2021-22
Zapata D.,A,Pc,ATA,24,6.38,7.73,10,0,3,0,4,3,0,2021-22
Muriel,A,Pc,ATA,26,6.37,7.69,9,0,2,0,8,1,0,2021-22
Deulofeu,A,A,UDI,34,6.51,7.68,13,0,1,0,5,9,0,2021-22
Abraham,A,Pc,ROM,37,6.26,7.62,17,0,3,0,4,9,0,2021-22
Scamacca,A,Pc,SAS,32,6.22,7.61,16,0,1,0,0,7,0,2021-22
Milinkovic-Savic,C,C;T,LAZ,37,6.51,7.59,11,0,0,0,10,4,1,2021-22
Pasalic,C,C;T,ATA,33,6.24,7.56,13,0,0,0,6,3,0,2021-22
Dzeko,A,Pc,INT,35,6.29,7.54,13,0,0,0,6,2,0,2021-22
Simeone,A,Pc,VER,35,6.17,7.54,17,0,0,0,4,8,0,2021-22
Ibrahimovic,A,Pc,MIL,18,6.42,7.53,8,0,0,0,2,2,0,2021-22
Barak,C,T,VER,29,6.31,7.48,11,0,4,0,3,4,0,2021-22
Dybala,A,A,JUV,28,6.36,7.45,10,0,1,0,5,3,0,2021-22
Arnautovic,A,Pc,BOL,32,6.28,7.44,14,0,2,0,1,6,0,2021-22
Giroud,A,Pc,MIL,29,6.26,7.43,11,0,2,0,3,4,0,2021-22
Gabbiadini,A,A,SAM,16,6.19,7.34,6,0,0,0,2,3,0,2021-22
Belotti,A,Pc,TOR,22,6.2,7.32,8,0,3,0,1,1,0,2021-22
Beto,A,Pc,UDI,28,6.11,7.27,11,0,0,0,0,1,0,2021-22
Verdi,C,W;T,SAL,17,6.24,7.21,6,0,1,0,0,3,0,2021-22
Pinamonti,A,Pc,EMP,36,6.15,7.21,13,0,4,0,1,4,0,2021-22
Perisic,C,E;W,INT,35,6.4,7.2,8,0,1,0,6,4,0,2021-22
Calhanoglu,C,T,INT,33,6.36,7.2,7,0,3,0,12,11,0,2021-22
Ruiz,C,C;T,NAP,31,6.42,7.19,7,0,0,0,4,2,0,2021-22
Insigne,A,A,NAP,32,6.3,7.17,11,0,9,0,8,2,0,2021-22
Maldini,C,T;A,MIL,3,6.33,7.17,1,0,0,0,0,1,0,2021-22
Pedro,A,A,LAZ,32,6.25,7.14,9,0,0,0,4,5,0,2021-22
Pellegrini Lo.,C,C;T,ROM,27,6.28,7.13,9,0,2,0,3,6,1,2021-22
Gonzalez N.,A,A,FIO,33,6.35,7.11,7,0,3,0,6,2,1,2021-22
Bonazzoli,A,Pc,SAL,31,6.23,7.1,10,0,2,0,0,6,0,2021-22
Verde,A,A,SPE,33,6.29,7.08,8,0,1,0,6,2,0,2021-22
Joao Pedro,A,A,CAG,37,6.07,7.03,13,0,3,0,4,9,0,2021-22
Destro,A,Pc,GEN,27,6.02,6.98,9,0,0,0,1,4,0,2021-22
Zaccagni,C,T;A,LAZ,30,6.3,6.93,6,0,1,0,4,6,0,2021-22
Traore' Hj.,C,T,SAS,28,6.2,6.93,7,0,0,0,1,3,0,2021-22
Barella,C,C,INT,36,6.49,6.92,3,0,0,0,11,9,0,2021-22
Morata,A,Pc,JUV,35,6.1,6.91,9,0,1,0,4,5,0,2021-22
Sanchez,A,A,INT,22,6.14,6.91,5,0,0,0,2,0,0,2021-22
Raspadori,A,Pc,SAS,36,6.07,6.89,10,0,0,0,4,7,1,2021-22
Sanabria,A,Pc,TOR,25,6.18,6.88,6,0,0,0,1,3,0,2021-22
Kalinic,A,Pc,VER,13,6.08,6.88,4,0,0,0,1,3,1,2021-22
Caputo,A,Pc,SAM,38,6.0,6.88,11,0,0,0,4,1,0,2021-22
Malinovskyi,C,T,ATA,29,6.26,6.88,6,0,0,0,5,10,0,2021-22
Bajrami,C,T,EMP,34,6.25,6.88,6,0,3,0,5,3,0,2021-22
Sabiri,C,T,SAM,13,6.15,6.88,3,0,0,0,2,3,0,2021-22
Ilicic,A,A,ATA,17,6.35,6.85,3,0,0,0,3,1,0,2021-22
Candreva,C,W,SAM,36,6.18,6.85,7,0,1,0,10,6,1,2021-22
Jovane,A,A,LAZ,3,5.83,6.83,1,0,0,0,0,0,0,2021-22
Mkhitaryan,C,T;A,ROM,31,6.21,6.82,5,0,0,0,6,2,1,2021-22
Success,A,A,UDI,19,6.26,6.82,2,0,0,0,6,1,1,2021-22
Luis Alberto,C,T,LAZ,34,6.15,6.81,5,0,0,0,10,5,0,2021-22
