nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
Zalewski,C,E;W,ATA,31,6.1,6.4,2,0,0,0,5,3,0,2025-26
Thuram K.,C,M;C,JUV,34,6.1,6.4,3,0,0,0,2,2,0,2025-26
Solet,D,Dc,UDI,34,6.18,6.4,3,0,1,0,1,1,0,2025-26
Vitinha O.,A,Pc,GEN,31,5.95,6.39,5,0,0,0,1,5,0,2025-26
Posch,D,Dd;Dc,COM,8,6.06,6.38,1,0,0,0,0,1,0,2025-26
Moreno Alb.,D,Ds;E,COM,16,6.06,6.38,2,0,0,0,1,4,0,2025-26
Diao,A,W;A,COM,16,6.0,6.38,2,0,0,0,1,2,0,2025-26
Baldanzi,C,T;A,GEN,17,6.15,6.38,1,0,0,0,2,2,0,2025-26
Politano,C,W,NAP,33,6.09,6.36,2,0,0,0,5,4,0,2025-26
Vaz,A,Pc,ROM,7,5.93,6.36,1,0,0,0,0,0,0,2025-26
Kalulu,D,Dd;Dc,JUV,37,6.14,6.35,2,0,0,0,4,2,1,2025-26
Gudmundsson A.,C,T;A,FIO,32,5.88,6.34,5,0,3,0,3,4,1,2025-26
Bastoni,D,Dc,INT,28,6.2,6.34,1,0,0,0,4,6,0,2025-26
David,A,Pc,JUV,30,5.77,6.33,6,0,0,0,2,0,0,2025-26
Di Lorenzo,D,Dd;E,NAP,26,6.08,6.33,2,0,0,0,1,1,0,2025-26
El Shaarawy,C,W,ROM,18,6.14,6.33,1,0,0,0,2,4,0,2025-26
Lang,A,A,NAP,14,6.04,6.32,1,0,0,0,2,2,0,2025-26
N'Dicka,D,Dc,ROM,31,6.08,6.32,3,0,0,0,1,5,0,2025-26
Athekame,D,Dd;E,MIL,17,5.94,6.32,2,0,0,0,2,3,0,2025-26
Brescianini,C,C;T,FIO,18,5.97,6.31,2,0,0,0,1,2,0,2025-26
Maldini,C,T;A,LAZ,18,5.94,6.31,2,0,0,0,1,1,0,2025-26
Gaetano,C,T,CAG,32,6.06,6.31,2,0,0,0,4,4,0,2025-26
Guendouzi,C,C,LAZ,16,6.16,6.31,2,0,0,0,0,5,1,2025-26
Cheddira,A,Pc,LEC,24,5.81,6.31,4,0,0,0,1,3,0,2025-26
Zappacosta,D,E,ATA,35,6.06,6.3,3,0,0,0,1,3,0,2025-26
Benedyczak,A,A,PAR,10,5.95,6.3,1,0,1,0,1,1,0,2025-26
Samardzic,C,T,ATA,21,5.93,6.29,2,0,0,0,2,1,0,2025-26
Cancellieri,A,W;A,LAZ,28,5.93,6.29,4,0,0,0,1,6,0,2025-26
Coulibaly L.,C,M;C,LEC,33,6.05,6.29,3,0,0,0,1,4,0,2025-26
Zanoli,D,Dd;E,UDI,19,6.05,6.29,1,0,0,0,2,1,0,2025-26
Johnsen,A,A,CRE,9,5.83,6.28,1,0,0,0,1,0,0,2025-26
Gosens,D,E,FIO,25,5.92,6.28,3,0,0,0,1,2,0,2025-26
Ekhator,A,A,GEN,25,5.96,6.28,3,0,0,0,0,3,0,2025-26
Pasalic,C,C;T,ATA,31,5.94,6.27,3,0,0,0,3,3,0,2025-26
Vandeputte,C,W;T,CRE,31,6.06,6.27,1,0,0,0,5,3,0,2025-26
Sucic P.,C,C,INT,28,6.07,6.27,2,0,0,0,2,5,0,2025-26
Gilmour,C,M;C,NAP,13,6.08,6.27,1,0,0,0,0,1,0,2025-26
Celik,D,B;Dd;E,ROM,32,6.17,6.27,1,0,0,0,2,2,1,2025-26
Harrison,C,W,FIO,15,5.9,6.27,1,0,0,0,3,1,0,2025-26
Nzola,A,Pc,SAS,27,5.96,6.26,4,0,2,0,1,2,1,2025-26
Kuhn,A,W;A,COM,14,5.96,6.25,1,0,0,0,1,0,0,2025-26
Rui Modesto,D,E,UDI,2,5.75,6.25,0,0,0,0,1,0,0,2025-26
Pedro Felipe,D,Dc,SAS,2,5.75,6.25,0,0,0,0,1,0,0,2025-26
Sulemana K.,A,A,ATA,21,6.0,6.24,2,0,0,0,1,4,0,2025-26
Piccoli,A,Pc,FIO,27,5.78,6.24,4,0,0,0,1,1,0,2025-26
Vojvoda,D,Dd;E,COM,27,6.02,6.24,2,0,0,0,1,2,0,2025-26
Sottil,C,W;A,LEC,21,6.02,6.24,1,0,0,0,2,1,0,2025-26
Buksa,A,Pc,UDI,21,5.88,6.24,3,0,0,0,0,3,0,2025-26
Valle,D,Ds;E,COM,26,6.06,6.23,1,0,0,0,3,3,0,2025-26
Fagioli,C,C,FIO,33,6.03,6.23,2,0,0,0,3,5,0,2025-26
Kristensen T.,D,Dd;Dc,UDI,28,5.98,6.23,3,0,0,0,0,4,0,2025-26
Gatti,D,Dc,JUV,16,5.94,6.22,2,0,0,0,0,3,0,2025-26
Cristante,C,M;C,ROM,37,6.11,6.22,2,0,0,0,1,6,0,2025-26
Serdar,C,C,VER,18,5.97,6.22,2,0,0,0,0,3,0,2025-26
Folorunsho,C,C;T,CAG,26,6.04,6.21,2,0,0,0,0,3,0,2025-26
Belghali,D,Dd;E,VER,26,6.1,6.21,2,0,0,0,0,6,0,2025-26
Miretti,C,C;T,JUV,15,5.97,6.2,1,0,0,0,1,1,0,2025-26
Locatelli,C,M;C,JUV,36,6.26,6.19,1,0,0,0,2,9,0,2025-26
Leris,C,W,PIS,32,5.94,6.19,2,0,0,0,3,2,0,2025-26
Ricci S.,C,M;C,MIL,28,6.0,6.18,1,0,0,0,3,3,0,2025-26
Kabasele,D,Dc,UDI,28,5.98,6.18,3,0,0,0,0,5,1,2025-26
Pobega,C,M;C,BOL,23,5.83,6.17,3,0,0,0,1,2,1,2025-26
Mina,D,Dc,CAG,26,6.0,6.17,2,0,0,0,1,3,1,2025-26
Gutierrez,D,Ds;E,NAP,21,5.98,6.17,1,0,0,0,1,0,0,2025-26
Bakola,C,C;T,SAS,3,6.17,6.17,0,0,0,0,0,0,0,2025-26
Carlos Augusto,D,B;Ds;E,INT,28,6.12,6.16,1,0,0,0,1,6,0,2025-26
Beukema,D,Dc,NAP,22,5.93,6.16,2,0,0,0,0,2,0,2025-26
Bernasconi,D,E,ATA,22,6.09,6.16,0,0,0,0,3,3,0,2025-26
Fadera,C,W,SAS,24,5.92,6.15,2,0,0,0,1,5,0,2025-26
Njie,A,A,TOR,10,5.8,6.15,1,0,0,0,1,2,0,2025-26
Vasquez,D,Ds;Dc,GEN,36,6.08,6.14,1,0,0,0,0,2,0,2025-26
Ramon,D,Dc,COM,32,6.16,6.14,2,0,0,0,0,11,1,2025-26
