nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
Osimhen,A,Pc,NAP,32,6.73,9.14,26,0,2,0,4,4,0,2022-23
Dybala,A,A,ROM,25,6.64,8.24,12,0,5,0,6,4,0,2022-23
Martinez L.,A,Pc,INT,37,6.42,8.16,21,0,1,0,6,3,0,2022-23
Berardi,A,A,SAS,24,6.58,8.1,12,0,7,0,7,7,0,2022-23
Kvaratskhelia,C,W;A,NAP,34,6.62,7.96,12,0,2,0,10,1,0,2022-23
Lookman,A,W;A,ATA,30,6.47,7.92,13,0,3,0,6,3,0,2022-23
Leao,A,A,MIL,34,6.47,7.9,15,0,0,0,7,5,1,2022-23
Dia,A,Pc,SAL,33,6.27,7.82,16,0,1,0,5,4,0,2022-23
Romero L.,C,W;A,LAZ,2,6.25,7.75,1,0,0,0,0,0,0,2022-23
Arnautovic,A,Pc,BOL,21,6.38,7.74,10,0,3,0,1,5,0,2022-23
Lukaku,A,Pc,INT,25,6.24,7.66,10,0,2,0,6,1,0,2022-23
Sanabria,A,Pc,TOR,31,6.27,7.52,12,0,1,0,4,4,0,2022-23
Antiste,A,A,SAS,2,6.0,7.5,1,0,0,0,0,0,0,2022-23
Immobile,A,Pc,LAZ,29,6.22,7.48,12,0,4,0,5,3,0,2022-23
Zaccagni,C,W;A,LAZ,35,6.54,7.44,10,0,1,0,6,9,0,2022-23
Giroud,A,Pc,MIL,33,6.24,7.42,13,0,3,0,4,6,1,2022-23
Nzola,A,Pc,SPE,31,6.19,7.39,13,0,3,0,2,8,0,2022-23
Simeone,A,Pc,NAP,12,6.29,7.33,4,0,0,0,1,1,0,2022-23
Cabral,A,Pc,FIO,21,6.21,7.31,8,0,2,0,1,4,0,2022-23
DZEKO,A,Pc,INT,28,6.23,7.25,9,0,0,0,3,3,0,2022-23
Lauriente',A,A,SAS,28,6.39,7.18,7,0,1,0,6,8,1,2022-23
Vlahovic,A,Pc,JUV,25,6.06,7.16,10,0,2,0,1,1,0,2022-23
El Shaarawy,C,W;A,ROM,26,6.37,7.15,7,0,0,0,1,3,0,2022-23
Koopmeiners,C,C;T,ATA,33,6.36,7.14,10,0,2,0,5,7,0,2022-23
Sansone,A,A,BOL,15,6.27,7.13,4,0,0,0,2,2,0,2022-23
Orsolini,C,W;A,BOL,32,6.16,7.09,11,0,3,0,2,6,2,2022-23
MILINKOVIC-SAVIC,C,C;T,LAZ,36,6.25,7.08,9,0,0,0,8,10,0,2022-23
Deulofeu,A,A,UDI,15,6.37,7.07,2,0,0,0,5,1,0,2022-23
Hojlund,A,Pc,ATA,30,6.12,7.07,9,0,0,0,2,1,0,2022-23
CIOFANI D.,A,Pc,CRE,22,6.11,7.05,8,0,3,0,0,1,0,2022-23
Rabiot,C,C,JUV,32,6.3,7.03,8,0,0,0,4,9,0,2022-23
Felipe Anderson,C,W;A,LAZ,38,6.25,7.0,9,0,0,0,3,3,0,2022-23
CORDAZ,P,Por,INT,1,7.0,7.0,0,0,0,0,0,0,0,2022-23
Strefezza,C,W,LEC,34,6.31,6.97,8,0,2,0,4,5,0,2022-23
Beto,A,Pc,UDI,33,6.06,6.97,10,0,1,0,1,2,0,2022-23
