nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
Venturino,C,W,GEN,3,6.83,8.83,2,0,0,0,0,0,0,2024-25
Retegui,A,Pc,ATA,36,6.5,8.67,25,0,4,0,7,2,0,2024-25
Orsolini,C,W,BOL,29,6.53,8.19,15,0,3,0,4,2,0,2024-25
Kean,A,Pc,FIO,32,6.42,8.08,19,0,1,0,2,6,0,2024-25
Lookman,A,A,ATA,31,6.42,7.94,15,0,1,0,4,4,0,2024-25
Diao,C,W;A,COM,14,6.5,7.93,7,0,0,0,0,2,0,2024-25
Ondrejka,C,W;A,PAR,10,6.35,7.85,5,0,0,0,0,0,0,2024-25
Zapata D.,A,Pc,TOR,7,6.57,7.79,3,0,0,0,0,1,0,2024-25
Kolo Muani,A,Pc,JUV,16,6.22,7.78,8,0,1,0,1,0,0,2024-25
Thuram,A,Pc,INT,32,6.33,7.75,14,0,0,0,4,1,0,2024-25
McTominay,C,M;C,NAP,34,6.56,7.66,12,0,0,0,3,3,0,2024-25
Lukaku,A,Pc,NAP,36,6.29,7.57,14,0,3,0,9,4,0,2024-25
Pulisic,C,T;A,MIL,34,6.38,7.49,11,0,3,0,8,1,0,2024-25
Dybala,A,A,ROM,20,6.48,7.48,6,0,3,0,3,2,0,2024-25
Martinez L.,A,Pc,INT,31,6.19,7.44,12,0,0,0,3,1,0,2024-25
Gabrielloni,A,Pc,COM,4,6.5,7.38,1,0,0,0,1,1,0,2024-25
Vlahovic,A,Pc,JUV,25,6.12,7.38,10,0,4,0,3,3,0,2024-25
Ndoye,C,W,BOL,29,6.47,7.36,8,0,2,0,4,4,0,2024-25
Saelemaekers,C,W,ROM,22,6.39,7.36,7,0,0,0,3,5,0,2024-25
Pedro,A,A,LAZ,28,6.21,7.27,10,0,2,0,1,3,0,2024-25
Cornet,C,W;A,GEN,6,6.08,7.25,2,0,0,0,1,0,0,2024-25
Kvaratskhelia,A,A,NAP,17,6.21,7.24,5,0,1,0,3,1,0,2024-25
Raspadori,A,A,NAP,18,6.19,7.22,6,0,0,0,1,1,0,2024-25
Thauvin,A,A,UDI,24,6.31,7.19,8,0,1,0,3,0,0,2024-25
Dovbyk,A,Pc,ROM,32,6.0,7.19,12,0,2,0,2,0,0,2024-25
Reijnders,C,C,MIL,37,6.31,7.18,10,0,0,0,4,2,1,2024-25
Castellanos,A,Pc,LAZ,29,6.29,7.17,10,0,2,0,3,7,1,2024-25
Lambourde,A,A,VER,3,6.17,7.17,1,0,0,0,0,1,0,2024-25
Mbangula,A,A,JUV,15,6.33,7.13,3,0,0,0,3,1,0,2024-25
Arnautovic,A,Pc,INT,14,6.14,7.11,4,0,0,0,2,2,0,2024-25
Sulemana I.,C,M;C,ATA,6,6.17,7.08,2,0,0,0,0,1,0,2024-25
Leao,A,A,MIL,34,6.19,7.06,8,0,0,0,8,5,0,2024-25
Lucca,A,Pc,UDI,33,6.11,7.05,12,0,1,0,0,10,0,2024-25
Soule',A,W;A,ROM,23,6.24,7.04,5,0,0,0,5,3,0,2024-25
Elmas,C,W;T,TOR,13,6.12,7.04,4,0,0,0,0,0,0,2024-25
Yildiz,A,A,JUV,34,6.34,7.01,7,0,0,0,4,2,1,2024-25
Zaccagni,C,W;A,LAZ,34,6.28,7.01,8,0,2,0,6,10,0,2024-25
Fazzini,C,C;T,EMP,20,6.42,6.98,4,0,0,0,1,2,1,2024-25
Gudmundsson A.,A,A,FIO,21,6.12,6.98,6,0,2,0,1,2,0,2024-25
Zambo Anguissa,C,M;C,NAP,35,6.41,6.97,6,0,0,0,4,5,0,2024-25
Adli,C,M;C,FIO,22,6.2,6.95,4,0,0,0,6,1,1,2024-25
Paz N.,C,T;A,COM,33,6.38,6.95,6,0,0,0,7,6,0,2024-25
De Ketelaere,A,A,ATA,34,6.19,6.94,7,0,0,0,5,1,0,2024-25
Pellegri,A,Pc,EMP,9,6.11,6.94,3,0,0,0,0,3,0,2024-25
Krstovic,A,Pc,LEC,37,6.05,6.92,11,0,2,0,5,6,0,2024-25
Dumfries,D,E,INT,29,6.19,6.91,7,0,0,0,2,4,0,2024-25
Calhanoglu,C,M;C,INT,28,6.34,6.89,5,0,3,0,6,5,0,2024-25
Morata,A,Pc,MIL,16,6.09,6.88,5,0,0,0,0,5,0,2024-25
Dia,A,Pc,LAZ,35,6.01,6.87,9,0,0,0,4,2,0,2024-25
Dimarco,D,E,INT,32,6.31,6.86,4,0,0,0,7,3,0,2024-25
