nome,ruolo,ruolo_mantra,squadra,presenze,media_voto,fantamedia,gol,gol_subiti,rigori_tirati,rigori_parati,assist,ammonizioni,espulsioni,stagione
Muriel,A,Pc,ATA,32,6.67,8.92,22,0,2,0,9,0,0,2020-21
Lukaku,A,Pc,INT,35,6.63,8.89,24,0,6,0,9,4,0,2020-21
Ronaldo,A,Pc,JUV,33,6.32,8.79,29,0,6,0,2,3,0,2020-21
Berardi,A,A,SAS,30,6.6,8.37,17,0,7,0,7,4,0,2020-21
Ibrahimovic,A,Pc,MIL,18,6.28,8.28,15,0,3,0,2,2,1,2020-21
Insigne,A,A,NAP,35,6.53,8.21,19,0,7,0,7,2,1,2020-21
Vlahovic,A,Pc,FIO,37,6.27,8.01,21,0,6,0,2,1,0,2020-21
Gomez,C,T;A,ATA,10,6.55,7.95,4,0,0,0,2,0,0,2020-21
Zapata D.,A,Pc,ATA,37,6.42,7.88,15,0,1,0,9,0,0,2020-21
Martinez L.,A,Pc,INT,38,6.46,7.87,17,0,2,0,5,5,0,2020-21
Simy,A,Pc,CRO,37,6.12,7.78,20,0,8,0,2,1,0,2020-21
Mkhitaryan,C,T;A,ROM,34,6.32,7.74,13,0,1,0,10,2,0,2020-21
Immobile,A,Pc,LAZ,35,6.23,7.7,20,0,4,0,6,3,1,2020-21
Caputo,A,Pc,SAS,24,6.12,7.65,11,0,3,0,4,1,0,2020-21
Belotti,A,Pc,TOR,34,6.43,7.6,13,0,4,0,6,4,0,2020-21
Osimhen,A,Pc,NAP,24,6.33,7.58,10,0,0,0,2,4,0,2020-21
Mayoral,A,Pc,ROM,22,6.09,7.57,10,0,0,0,3,1,0,2020-21
Nzola,A,Pc,SPE,25,6.22,7.56,11,0,4,0,3,5,0,2020-21
Eyango,C,C,GEN,1,6.5,7.5,0,0,0,0,1,0,0,2020-21
Rebic,A,A,MIL,27,6.19,7.44,11,0,0,0,4,4,1,2020-21
Malinovskyi,C,T,ATA,32,6.39,7.44,8,0,1,0,11,3,0,2020-21
De Paul,C,T,UDI,36,6.5,7.43,9,0,3,0,10,3,2,2020-21
Chiesa,C,W;A,JUV,30,6.45,7.43,9,0,0,0,5,3,1,2020-21
Destro,A,Pc,GEN,25,6.16,7.42,11,0,0,0,1,5,0,2020-21
Joao Pedro,A,A,CAG,37,6.16,7.41,16,0,4,0,3,4,0,2020-21
Morata,A,Pc,JUV,30,6.15,7.4,11,0,1,0,7,3,1,2020-21
Vecino,C,M;C,INT,4,6.38,7.38,1,0,0,0,1,0,0,2020-21
Mertens,A,Pc,NAP,27,6.15,7.37,9,0,0,0,7,2,0,2020-21
Kessie',C,M;C,MIL,37,6.47,7.36,13,0,11,0,4,8,0,2020-21
Veretout,C,C,ROM,28,6.32,7.36,10,0,5,0,1,4,0,2020-21
Verde,A,A,SPE,19,6.34,7.34,6,0,0,0,1,0,0,2020-21
Sanchez,A,A,INT,25,6.38,7.34,7,0,0,0,6,0,0,2020-21
Lozano,A,A,NAP,32,6.31,7.34,11,0,0,0,3,6,0,2020-21
Zielinski,C,C;T,NAP,36,6.39,7.28,8,0,0,0,9,2,0,2020-21
Quagliarella,A,Pc,SAM,32,6.14,7.28,13,0,2,0,1,1,0,2020-21
Gosens,D,E,ATA,32,6.27,7.28,11,0,0,0,6,7,1,2020-21
Caicedo,A,Pc,LAZ,21,6.19,7.21,8,0,1,0,0,5,0,2020-21
Ilicic,A,A,ATA,28,6.27,7.2,6,0,2,0,9,2,0,2020-21
Milinkovic-Savic,C,C;T,LAZ,32,6.3,7.2,8,0,0,0,7,4,0,2020-21
Hakimi,D,Dd;Ds;E,INT,35,6.43,7.17,7,0,0,0,8,6,0,2020-21
Pereiro,C,W;T;A,CAG,6,6.0,7.17,2,0,0,0,1,0,0,2020-21
Braaf,A,W;A,UDI,3,6.17,7.17,1,0,0,0,0,0,0,2020-21
Viola,C,C,BEN,17,6.24,7.15,5,0,4,0,1,1,0,2020-21
Ounas,A,A,CRO,20,6.38,7.15,4,0,0,0,4,1,0,2020-21
Raspadori,A,Pc,SAS,20,6.28,7.15,6,0,0,0,0,1,0,2020-21
Piccoli,A,Pc,SPE,14,6.07,7.14,5,0,0,0,0,0,0,2020-21
D'ambrosio,D,Dd;Dc;E,INT,8,6.06,7.12,3,0,0,0,0,2,0,2020-21
Petagna,A,Pc,NAP,16,6.16,7.09,4,0,0,0,3,0,0,2020-21
Scamacca,A,Pc,GEN,26,6.17,7.08,8,0,2,0,2,1,0,2020-21
Luis Alberto,C,T,LAZ,34,6.31,7.03,9,0,0,0,0,5,0,2020-21
Miranchuk,C,T;A,ATA,16,6.22,7.03,4,0,0,0,1,0,0,2020-21
Politano,C,W;A,NAP,36,6.22,7.01,9,0,0,0,3,3,0,2020-21
Sanabria,A,Pc,TOR,14,5.93,7.0,5,0,0,0,1,2,0,2020-21
Pinamonti,A,Pc,INT,4,6.25,7.0,1,0,0,0,0,0,0,2020-21
Pasalic,C,C;T,ATA,20,6.08,7.0,6,0,0,0,1,2,0,2020-21
Pussetto,A,W;A,UDI,11,6.18,7.0,3,0,0,0,1,2,0,2020-21
Zalewski,C,W;T,ROM,1,6.0,7.0,0,0,0,0,1,0,0,2020-21
Messias,A,A,CRO,36,6.24,6.99,9,0,0,0,3,6,0,2020-21
Shomurodov,A,Pc,GEN,30,6.17,6.98,8,0,0,0,1,1,0,2020-21
Soriano,C,C;T,BOL,37,6.2,6.97,9,0,0,0,4,5,0,2020-21
Pellegrini Lo.,C,C;T,ROM,33,6.3,6.94,7,0,1,0,5,10,0,2020-21
Correa,A,A,LAZ,28,6.0,6.91,8,0,1,0,3,1,1,2020-21
Gabbiadini,A,Pc,SAM,15,6.2,6.9,3,0,1,0,2,1,0,2020-21
